CVE,Risk,Name
"CVE-1999-0524","None","ICMP Timestamp Request Remote Date Disclosure"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Traceroute Information"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","SNMP Query Running Process List Disclosure"
"","None","SNMP Request Network Interfaces Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure"
"","None","SNMP Query System Information Disclosure"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","OS Identification"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Nessus SNMP Scanner"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","VMware Virtual Machine Detection"
"","None","Authentication Failure - Local Checks Not Run"
"","None","Nessus Windows Scan Not Performed with Admin Privileges"
"","None","SNMP Query Routing Information Disclosure"
"","None","SNMP Protocol Version Detection"
"","None","Ethernet Card Manufacturer Detection"
"","None","SNMP Supported Protocols Detection"
"CVE-1999-0517","High","SNMP Agent Default Community Name (public)"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Common Platform Enumeration (CPE)"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft Windows SMB Registry : Win 7 / Server 2008 R2 Service Pack Detection"
"","None","Device Type"
"","None","Ethernet MAC Addresses"
"","None","Server Message Block (SMB) Protocol Version 1 Enabled (uncredentialed check)"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","Microsoft Windows SMB2 and SMB3 Dialects Supported (remote check)"
"","Critical","Unsupported Windows OS (remote)"
"","None","Authentication Success Insufficient Access"
"","Critical","Microsoft Windows 7 / Server 2008 R2 Unsupported Version Detection"
"","None","Microsoft Windows SAM user enumeration"
"","None","WMI Not Available"
"","None","HTTP Server Type and Version"
"CVE-1999-0524","None","ICMP Timestamp Request Remote Date Disclosure"
"","None","Traceroute Information"
"","None","SNMP Query Running Process List Disclosure"
"","None","SNMP Request Network Interfaces Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
