CVE,Risk,Name
"","None","Traceroute Information"
"","None","Nessus Scan Information"
"","None","HTTP Server Type and Version"
"","None","HTTP Server Type and Version"
"","None","HTTP Server Type and Version"
"","None","HTTP Server Type and Version"
"","None","Microsoft SQL Server TCP/IP Listener Detection"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Traceroute Information"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Shares Access"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","SSL Certificate Information"
"","None","SSL Certificate Information"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Unknown Service Detection: Banner Retrieval"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","High","SSL Version 2 and 3 Protocol Detection"
"","None","VMware Virtual Machine Detection"
"","None","SSL Cipher Suites Supported"
"","None","SSL Cipher Suites Supported"
"","None","Authentication Failure - Local Checks Not Run"
