CVE,Risk,Name
"","None","HTTP Server Type and Version"
"","None","HTTP Server Type and Version"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Traceroute Information"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","COM+ Internet Services (CIS) Server Detection"
"","None","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","SSL Certificate Information"
"","None","SSL Certificate Information"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Web Server Unconfigured - Default Install Page Present"
"","None","Web Server Unconfigured - Default Install Page Present"
"","None","OS Identification"
"","None","Microsoft Windows Installed Hotfixes"
"","Medium","SSL Certificate Expiry"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","High","SSL Version 2 and 3 Protocol Detection"
"","None","VMware Virtual Machine Detection"
"","None","VERITAS NetBackup Agent Detection"
"","None","SSL Cipher Suites Supported"
"","None","SSL Cipher Suites Supported"
"","None","Authentication Failure - Local Checks Not Run"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","Nessus Windows Scan Not Performed with Admin Privileges"
"","None","TCP/IP Timestamps Supported"
"","None","Ethernet Card Manufacturer Detection"
"CVE-1999-0519","High","Microsoft Windows SMB Shares Unprivileged Access"
"CVE-1999-0520","High","Microsoft Windows SMB Shares Unprivileged Access"
"CVE-2016-2183","Medium","SSL Medium Strength Cipher Suites Supported (SWEET32)"
"CVE-2016-2183","Medium","SSL Medium Strength Cipher Suites Supported (SWEET32)"
"","None","HTTP Methods Allowed (per directory)"
"","None","HTTP Methods Allowed (per directory)"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","SSL Certificate 'commonName' Mismatch"
"","None","SSL Certificate 'commonName' Mismatch"
"","Medium","SSL Certificate with Wrong Hostname"
"","Medium","SSL Certificate with Wrong Hostname"
"","None","Common Platform Enumeration (CPE)"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","Medium","SSL Certificate Cannot Be Trusted"
"","Medium","SSL Certificate Cannot Be Trusted"
"","None","Device Type"
"","None","SSL / TLS Versions Supported"
"","None","SSL / TLS Versions Supported"
"","None","SSL Perfect Forward Secrecy Cipher Suites Supported"
"","None","SSL Perfect Forward Secrecy Cipher Suites Supported"
"","Medium","SSL Self-Signed Certificate"
"","Medium","SSL Self-Signed Certificate"
"","None","Terminal Services Use SSL/TLS"
"CVE-2013-2566","Medium","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"CVE-2015-2808","Medium","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"CVE-2013-2566","Medium","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"CVE-2015-2808","Medium","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"CVE-2014-3566","Medium","SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE)"
"CVE-2015-4000","Low","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)"
"CVE-2015-4000","Low","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)"
"","None","HSTS Missing From HTTPS Server"
"","None","Ethernet MAC Addresses"
"","None","Server Message Block (SMB) Protocol Version 1 Enabled (uncredentialed check)"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","Medium","TLS Version 1.0 Protocol Detection"
"","Medium","TLS Version 1.0 Protocol Detection"
"","None","Microsoft Windows SMB2 and SMB3 Dialects Supported (remote check)"
"","None","Authentication Success Insufficient Access"
"","None","TLS Version 1.1 Protocol Detection"
"","None","TLS Version 1.1 Protocol Detection"
"","None","Microsoft Windows SAM user enumeration"
"","None","WMI Not Available"
"","None","TLS Version 1.2 Protocol Detection"
"","None","TLS Version 1.2 Protocol Detection"
