CVE,Risk,Name
"","None","Traceroute Information"
"","None","Web Server No 404 Error Code Check"
"","None","SSL Certificate Information"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","None","VMware ESX/GSX Server detection"
"","None","SSL Cipher Suites Supported"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","TCP/IP Timestamps Supported"
"","None","Strict Transport Security (STS) Detection"
"","None","Common Platform Enumeration (CPE)"
"","None","OpenSSL Detection"
"","Medium","SSL Certificate Cannot Be Trusted"
"","None","Device Type"
"","None","SSL / TLS Versions Supported"
"","None","SSL Perfect Forward Secrecy Cipher Suites Supported"
"","None","VMware vSphere Detect"
"","Medium","SSL Self-Signed Certificate"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"","None","SSL Root Certification Authority Certificate Information"
"","Medium","TLS Version 1.0 Protocol Detection"
"","None","No Credentials Provided"
"","None","Local Checks Not Enabled (info)"
"","None","TLS Version 1.1 Protocol Detection"
"","None","TLS Version 1.2 Protocol Detection"
"","None","Traceroute Information"
"","None","Web Server No 404 Error Code Check"
"","None","SSL Certificate Information"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","None","VMware ESX/GSX Server detection"
"","None","SSL Cipher Suites Supported"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","TCP/IP Timestamps Supported"
"","None","Strict Transport Security (STS) Detection"
"","None","Common Platform Enumeration (CPE)"
"","None","OpenSSL Detection"
"","Medium","SSL Certificate Cannot Be Trusted"
"","None","Device Type"
"","None","SSL / TLS Versions Supported"
"","None","SSL Perfect Forward Secrecy Cipher Suites Supported"
"","None","VMware vSphere Detect"
"","Medium","SSL Self-Signed Certificate"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"","None","SSL Root Certification Authority Certificate Information"
"","Medium","TLS Version 1.0 Protocol Detection"
"","None","No Credentials Provided"
"","None","Local Checks Not Enabled (info)"
"","None","TLS Version 1.1 Protocol Detection"
"","None","TLS Version 1.2 Protocol Detection"
"","None","Traceroute Information"
"","None","Nessus Scan Information"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Traceroute Information"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
