CVE,Risk,Name
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"CVE-1999-0519","High","Microsoft Windows SMB Shares Unprivileged Access"
"CVE-1999-0520","High","Microsoft Windows SMB Shares Unprivileged Access"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","Microsoft Windows SMB2 Dialects Supported (remote check)"
"","None","Microsoft Windows SAM user enumeration"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"CVE-1999-0519","High","Microsoft Windows SMB Shares Unprivileged Access"
"CVE-1999-0520","High","Microsoft Windows SMB Shares Unprivileged Access"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","Microsoft Windows SMB2 Dialects Supported (remote check)"
"","None","Microsoft Windows SAM user enumeration"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","Microsoft Windows SMB2 Dialects Supported (remote check)"
"","None","Microsoft Windows SAM user enumeration"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry Not Fully Accessible Detection"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Microsoft Windows Installed Hotfixes"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","Microsoft Windows SMB2 Dialects Supported (remote check)"
"","None","Microsoft Windows SAM user enumeration"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","None","Microsoft Windows SMB Log In Possible"
"","None","Microsoft Windows SMB Shares Enumeration"
"","None","Microsoft Windows SMB Shares Access"
"","None","Microsoft Windows SMB Registry Remotely Accessible"
"","None","Microsoft Windows SMB Registry : Remote PDC/BDC Detection"
"","None","Microsoft Windows SMB Service Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration"
"","None","Microsoft Windows 'Administrators' Group User List"
"","High","Microsoft Windows Guest Account Belongs to a Group"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Microsoft Windows SMB Registry : Winlogon Cached Password Weakness"
"","None","Antivirus Software Check"
"","None","Microsoft Windows SMB : Obtains the Password Policy"
"","None","Nessus Scan Information"
"","None","Microsoft Windows Installed Software Enumeration (credentialed check)"
"","None","Microsoft Windows SMB Share Hosting Office Files"
"","None","BIOS Info (SMB)"
"","None","Microsoft Windows Summary of Missing Patches"
"","None","Microsoft Windows SMB Last Logged On User Disclosure"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"","None","NetBIOS Multiple IP Address Enumeration"
"","None","Microsoft Windows SMB Service Config Enumeration"
"","None","Microsoft Windows SMB Registry : Enumerate the list of SNMP communities"
"","None","Microsoft Windows SMB Registry : OS Version and Processor Architecture"
"","None","Microsoft .NET Framework Detection"
"","None","Microsoft Patch Bulletin Feasibility Check"
"","None","Windows DNS Server Enumeration"
"","None","Microsoft Windows Startup Software Enumeration"
"","None","Microsoft Windows SMB Share Permissions Enumeration"
"","None","SMB QuickFixEngineering (QFE) Enumeration"
"","None","Microsoft Windows Mounted Devices"
"","None","Microsoft Malicious Software Removal Tool Installed"
"","None","Microsoft Internet Explorer Version Detection"
"","None","Microsoft Internet Explorer Enhanced Security Configuration Detection"
"CVE-2014-3566","Medium","MS KB3009008: Vulnerability in SSL 3.0 Could Allow Information Disclosure (POODLE)"
"CVE-2015-0008","High","MS15-011: Vulnerability in Group Policy Could Allow Remote Code Execution (3000483)"
"CVE-2015-6083","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6134","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6135","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6136","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6138","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6139","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6140","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6141","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6142","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6143","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6144","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6145","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6146","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6147","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6148","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
"CVE-2015-6149","High","MS15-124: Cumulative Security Update for Internet Explorer (3116180)"
