CVE,Risk,Name
"CVE-1999-0524","None","ICMP Timestamp Request Remote Date Disclosure"
"","None","Traceroute Information"
"","Low","DHCP Server Detection"
"","None","SSL Certificate Information"
"","None","Service Detection (HELP Request)"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","High","SSL Version 2 and 3 Protocol Detection"
"","None","SSL Cipher Suites Supported"
"","None","Service Detection"
"","None","Service Detection"
"","None","Service Detection"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","Medium","SSL Weak Cipher Suites Supported"
"CVE-2004-2761","Medium","SSL Certificate Signed Using Weak Hashing Algorithm"
"","None","Universal Plug and Play (UPnP) Protocol Detection"
"","None","Web Server UPnP Detection"
"","None","Web Server UPnP Detection"
"","None","Ethernet Card Manufacturer Detection"
"CVE-2016-2183","Medium","SSL Medium Strength Cipher Suites Supported (SWEET32)"
"","Medium","SSL Certificate Cannot Be Trusted"
"","None","Device Type"
"","None","SSL / TLS Versions Supported"
"CVE-2013-2566","Low","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"CVE-2015-2808","Low","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"","Low","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"CVE-2014-3566","Medium","SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE)"
"","None","HSTS Missing From HTTPS Server"
"","None","Ethernet MAC Addresses"
"CVE-2016-0800","Medium","SSL DROWN Attack Vulnerability (Decrypting RSA with Obsolete and Weakened eNcryption)"
"","None","TLS Version 1.0 Protocol Detection"
"","None","Traceroute Information"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","None","Service Detection"
"","None","TCP/IP Timestamps Supported"
"","None","Ethernet Card Manufacturer Detection"
"","None","Common Platform Enumeration (CPE)"
"","None","Device Type"
"","None","Ethernet MAC Addresses"
"","None","HTTP Server Type and Version"
"","None","Windows NetBIOS / SMB Remote Host Information Disclosure"
"","Medium","Apache mod_status /server-status Information Disclosure"
"","Medium","Apache mod_info /server-info Information Disclosure"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","DCE Services Enumeration"
"","None","SSL Certificate Information"
"","None","Windows Terminal Services Enabled"
"","None","Microsoft Windows SMB Service Detection"
"","None","Microsoft Windows SMB Service Detection"
"CVE-2003-1567","Medium","HTTP TRACE / TRACK Methods Allowed"
"CVE-2004-2320","Medium","HTTP TRACE / TRACK Methods Allowed"
"CVE-2010-0386","Medium","HTTP TRACE / TRACK Methods Allowed"
"","None","Host Fully Qualified Domain Name (FQDN) Resolution"
"","None","Authenticated Check : OS Name and Installed Package Enumeration"
"","None","Nessus Scan Information"
"","None","SSL Cipher Suites Supported"
"","None","HyperText Transfer Protocol (HTTP) Information"
"","None","Universal Plug and Play (UPnP) Protocol Detection"
"","None","Microsoft Windows NTLMSSP Authentication Request Remote Network Name Disclosure"
"CVE-2016-2183","Medium","SSL Medium Strength Cipher Suites Supported (SWEET32)"
"","None","Common Platform Enumeration (CPE)"
"","None","Apache HTTP Server Version"
"","None","PHP Version Detection"
"","Medium","SSL Certificate Cannot Be Trusted"
"","None","SSL Session Resume Supported"
"","None","SSL / TLS Versions Supported"
"","None","SSL Perfect Forward Secrecy Cipher Suites Supported"
"","None","OpenSSL Version Detection"
"","Medium","SSL Self-Signed Certificate"
"","Medium","SMB Signing not required"
"","None","Terminal Services Use SSL/TLS"
"CVE-2013-2566","Low","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"CVE-2015-2808","Low","SSL RC4 Cipher Suites Supported (Bar Mitzvah)"
"","None","Patch Report"
"","None","SSL Cipher Block Chaining Cipher Suites Supported"
"","None","OS Identification and Installed Software Enumeration over SSH v2 (Using New SSH Library)"
"","None","Microsoft Windows SMB Versions Supported (remote check)"
"","None","TLS Version 1.0 Protocol Detection"
"","None","JQuery Detection"
"","None","Microsoft Windows SMB2 Dialects Supported (remote check)"
"","None","Local Checks Not Enabled (info)"
"","None","TLS Version 1.1 Protocol Detection"
"CVE-2019-0196","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-0197","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-0211","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-0215","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-0217","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-0220","Medium","Apache 2.4.x < 2.4.39 Multiple Vulnerabilities"
"CVE-2019-11034","Medium","PHP 7.3.x < 7.3.4 Multiple vulnerabilities."
"CVE-2019-11035","Medium","PHP 7.3.x < 7.3.4 Multiple vulnerabilities."
"CVE-2019-11036","Medium","PHP 7.3.x < 7.3.5 Heap-based Buffer Overflow Vulnerability."
"CVE-1999-0524","None","ICMP Timestamp Request Remote Date Disclosure"
"","None","Traceroute Information"
"","None","Open Port Re-check"
"CVE-2003-0001","Low","Multiple Ethernet Driver Frame Padding Information Disclosure (Etherleak)"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","None","Ethernet Card Manufacturer Detection"
"","Medium","Unencrypted Telnet Server"
"","None","Ethernet MAC Addresses"
"","None","Nessus Scan Information"
"","None","Ethernet Card Manufacturer Detection"
"","None","Ethernet MAC Addresses"
"CVE-1999-0524","None","ICMP Timestamp Request Remote Date Disclosure"
"","None","Traceroute Information"
"","None","Nessus Scan Information"
"","None","Ethernet Card Manufacturer Detection"
"","None","mDNS Detection (Local Network)"
"","None","Ethernet MAC Addresses"
"","None","Traceroute Information"
"","None","Nessus SYN scanner"
"","None","OS Identification"
"","None","Nessus Scan Information"
"","None","Service Detection"
"","None","TCP/IP Timestamps Supported"
"","None","Ethernet Card Manufacturer Detection"
"","None","Common Platform Enumeration (CPE)"
"","None","Device Type"
"","None","Ethernet MAC Addresses"
